position;time;model;response;gpu;diff_time;norm_time
0;5.30942440032959;openai/gpt-oss-120b;;H100-NVL;0.0;0.0
2;5.409766912460327;openai/gpt-oss-120b;;H100-NVL;0.1003425121307373;0.00032769306177426143
4;5.451371192932129;openai/gpt-oss-120b;;H100-NVL;0.04160428047180176;0.0004635620345677339
3;5.463054418563843;openai/gpt-oss-120b;;H100-NVL;0.011683225631713867;0.0005017164707818446
5;5.692986965179443;openai/gpt-oss-120b;;H100-NVL;0.22993254661560059;0.0012526175455311837
1;5.766931533813477;openai/gpt-oss-120b;;H100-NVL;0.0739445686340332;0.001494101654138036
9;6.097322463989258;openai/gpt-oss-120b;;H100-NVL;0.33039093017578125;0.002573074197208176
10;6.27738356590271;openai/gpt-oss-120b;;H100-NVL;0.18006110191345215;0.003161107848544197
13;6.548526048660278;openai/gpt-oss-120b;;H100-NVL;0.27114248275756836;0.004046590068045906
11;6.567139148712158;openai/gpt-oss-120b;;H100-NVL;0.018613100051879883;0.0041073757073087965
12;6.613301515579224;openai/gpt-oss-120b;;H100-NVL;0.04616236686706543;0.004258130228161395
7;6.687429666519165;openai/gpt-oss-120b;;H100-NVL;0.0741281509399414;0.004500213869774081
6;6.714472532272339;openai/gpt-oss-120b;;H100-NVL;0.027042865753173828;0.004588528974604841
8;6.903008460998535;openai/gpt-oss-120b;;H100-NVL;0.1885359287261963;0.0052042392496101635
14;7.576879501342773;openai/gpt-oss-120b;;H100-NVL;0.6738710403442383;0.0074049302604520875
15;7.919523000717163;openai/gpt-oss-120b;;H100-NVL;0.34264349937438965;0.008523916570668715
16;8.240660429000854;openai/gpt-oss-120b;;H100-NVL;0.3211374282836914;0.009572669535787667
21;8.65400767326355;openai/gpt-oss-120b;;H100-NVL;0.4133472442626953;0.01092255625052245
18;8.738374710083008;openai/gpt-oss-120b;;H100-NVL;0.08436703681945801;0.011198077482960494
17;8.991728067398071;openai/gpt-oss-120b;;H100-NVL;0.2533533573150635;0.012025464954196924
19;8.995529413223267;openai/gpt-oss-120b;;H100-NVL;0.0038013458251953125;0.012037879180489148
20;9.25285530090332;openai/gpt-oss-120b;;H100-NVL;0.2573258876800537;0.012878239923080383
22;9.510894060134888;openai/gpt-oss-120b;;H100-NVL;0.2580387592315674;0.013720928722408557
23;9.978583335876465;openai/gpt-oss-120b;;H100-NVL;0.46768927574157715;0.015248282657170147
24;10.321208953857422;openai/gpt-oss-120b;;H100-NVL;0.34262561798095703;0.016367210571314777
25;10.69480323791504;openai/gpt-oss-120b;;H100-NVL;0.37359428405761896;0.017587274253243496
27;12.565863609313965;openai/gpt-oss-120b;;H100-NVL;1.871060371398924;0.023697680389670916
26;12.61921763420105;openai/gpt-oss-120b;;H100-NVL;0.05335402488708496;0.023871921032066326
28;13.694543838500977;openai/gpt-oss-120b;;H100-NVL;1.0753262042999268;0.027383662255308
32;14.73582410812378;openai/gpt-oss-120b;;H100-NVL;1.0412802696228027;0.030784218136082096
30;14.944849729537964;openai/gpt-oss-120b;;H100-NVL;0.20902562141418457;0.0314668425234528
37;14.972923278808594;openai/gpt-oss-120b;;H100-NVL;0.028073549270629883;0.03155852357787345
31;14.995978116989136;openai/gpt-oss-120b;;H100-NVL;0.023054838180541992;0.03163381480142034
35;15.000002384185793;openai/gpt-oss-120b;;H100-NVL;0.00402426719665705;0.031646957032076796
33;15.038888454437256;openai/gpt-oss-120b;;H100-NVL;0.03888607025146307;0.03177394902331246
29;15.045392513275146;openai/gpt-oss-120b;;H100-NVL;0.006504058837890625;0.03179518962123342
42;15.151596307754517;openai/gpt-oss-120b;;H100-NVL;0.10620379447937012;0.032142024136793935
34;15.45306396484375;openai/gpt-oss-120b;;H100-NVL;0.3014676570892334;0.033126540644102136
43;15.478458404541016;openai/gpt-oss-120b;;H100-NVL;0.025394439697265625;0.03320947240970908
48;15.527708768844604;openai/gpt-oss-120b;;H100-NVL;0.04925036430358887;0.03337031154288838
39;15.538990020751951;openai/gpt-oss-120b;;H100-NVL;0.011281251907346856;0.033407153235404
47;15.546972513198853;openai/gpt-oss-120b;;H100-NVL;0.00798249244690119;0.03343322202055766
41;15.590761423110962;openai/gpt-oss-120b;;H100-NVL;0.043788909912109375;0.03357622543612055
46;15.627405166625977;openai/gpt-oss-120b;;H100-NVL;0.03664374351501465;0.03369589455992782
36;15.658957719802856;openai/gpt-oss-120b;;H100-NVL;0.03155255317687988;0.03379893715411617
40;15.688527822494509;openai/gpt-oss-120b;;H100-NVL;0.029570102691652167;0.033895505570455814
45;15.828433275222778;openai/gpt-oss-120b;;H100-NVL;0.1399054527282697;0.03435240110944439
44;15.849050045013428;openai/gpt-oss-120b;;H100-NVL;0.020616769790649414;0.0344197302232281
38;15.962836027145386;openai/gpt-oss-120b;;H100-NVL;0.11378598213195801;0.03479132623054383
50;16.199000120162964;openai/gpt-oss-120b;;H100-NVL;0.23616409301757812;0.0355625779470769
49;16.741000413894653;openai/gpt-oss-120b;;H100-NVL;0.5420002937316895;0.03733261272061413
51;18.00818681716919;openai/gpt-oss-120b;;H100-NVL;1.2671864032745361;0.041470920437952474
55;18.032160997390747;openai/gpt-oss-120b;;H100-NVL;0.023974180221557617;0.0415492139982143
53;18.08166265487671;openai/gpt-oss-120b;;H100-NVL;0.049501657485961914;0.04171087379085872
56;18.104244709014893;openai/gpt-oss-120b;;H100-NVL;0.022582054138183594;0.04178462102226201
52;18.14739799499512;openai/gpt-oss-120b;;H100-NVL;0.04315328598022816;0.041925548652119005
54;18.15231442451477;openai/gpt-oss-120b;;H100-NVL;0.004916429519649768;0.04194160445746094
57;18.392475605010983;openai/gpt-oss-120b;;H100-NVL;0.24016118049621227;0.04272590964262101
58;18.901087760925293;openai/gpt-oss-120b;;H100-NVL;0.5086121559143102;0.04438690727052586
59;21.861626386642456;openai/gpt-oss-120b;;H100-NVL;2.960538625717163;0.05405527161741609
61;22.381072759628296;openai/gpt-oss-120b;;H100-NVL;0.5194463729858398;0.05575165103603664
60;22.568906784057617;openai/gpt-oss-120b;;H100-NVL;0.1878340244293213;0.05636506907056251
63;22.569956064224243;openai/gpt-oss-120b;;H100-NVL;0.0010492801666259766;0.05636849575206728
62;22.75529932975769;openai/gpt-oss-120b;;H100-NVL;0.18534326553344727;0.05697377960307115
65;23.064392805099487;openai/gpt-oss-120b;;H100-NVL;0.3090934753417969;0.05798320008855025
66;23.115883827209476;openai/gpt-oss-120b;;H100-NVL;0.051491022109988904;0.0581513566388579
64;23.29882431030273;openai/gpt-oss-120b;;H100-NVL;0.1829404830932546;0.058748793615013964
68;23.35612154006958;openai/gpt-oss-120b;;H100-NVL;0.057297229766849256;0.058935911759206115
67;23.42182183265686;openai/gpt-oss-120b;;H100-NVL;0.06570029258728027;0.05915047216416528
69;23.90013885498047;openai/gpt-oss-120b;;H100-NVL;0.4783170223236084;0.06071253360966458
70;24.431198120117188;openai/gpt-oss-120b;;H100-NVL;0.5310592651367188;0.062446837773282714
73;24.942843437194824;openai/gpt-oss-120b;;H100-NVL;0.5116453170776367;0.0641177409322268
74;24.97891116142273;openai/gpt-oss-120b;;H100-NVL;0.03606772422790527;0.06423552892390148
71;25.175246477127075;openai/gpt-oss-120b;;H100-NVL;0.1963353157043457;0.06487671000828321
72;25.65588879585266;openai/gpt-oss-120b;;H100-NVL;0.48064231872558594;0.06644636527898498
78;25.801352739334103;openai/gpt-oss-120b;;H100-NVL;0.14546394348144176;0.06692141343160732
76;25.804133653640747;openai/gpt-oss-120b;;H100-NVL;0.0027809143066441777;0.06693049518872426
77;25.8806893825531;openai/gpt-oss-120b;;H100-NVL;0.07655572891235352;0.06718050668107124
75;26.075220108032227;openai/gpt-oss-120b;;H100-NVL;0.19453072547912598;0.06781579443386705
79;26.45812153816223;openai/gpt-oss-120b;;H100-NVL;0.3829014301300049;0.06906625288196294
80;28.4444591999054;openai/gpt-oss-120b;;H100-NVL;1.9863376617431676;0.07555312525811066
81;31.7230544090271;openai/gpt-oss-120b;;H100-NVL;3.2785952091217005;0.08626018131622193
82;31.812594413757324;openai/gpt-oss-120b;;H100-NVL;0.08954000473022461;0.08655259614298148
83;31.93570709228516;openai/gpt-oss-120b;;H100-NVL;0.12311267852783558;0.08695465076283647
84;32.96446442604065;openai/gpt-oss-120b;;H100-NVL;1.0287573337554896;0.09031430992785547
85;33.95933198928833;openai/gpt-oss-120b;;H100-NVL;0.9948675632476807;0.093563293742769
86;34.051981687545776;openai/gpt-oss-120b;;H100-NVL;0.09264969825744629;0.09386586403575596
87;34.93636226654053;openai/gpt-oss-120b;;H100-NVL;0.884380578994751;0.09675402552933003
89;35.65133357048035;openai/gpt-oss-120b;;H100-NVL;0.7149713039398193;0.0990889395223494
90;35.910675287246704;openai/gpt-oss-120b;;H100-NVL;0.2593417167663574;0.09993588344879041
88;36.29069209098816;openai/gpt-oss-120b;;H100-NVL;0.3800168037414551;0.10117692144255178
93;36.37743091583252;openai/gpt-oss-120b;;H100-NVL;0.08673882484436035;0.10146018832997948
95;36.554521322250366;openai/gpt-oss-120b;;H100-NVL;0.17709040641784668;0.1020385204472211
91;36.70362067222595;openai/gpt-oss-120b;;H100-NVL;0.14909934997558594;0.10252544091058755
94;36.78762722015381;openai/gpt-oss-120b;;H100-NVL;0.08400654792785645;0.10279978487821413
92;37.17221713066101;openai/gpt-oss-120b;;H100-NVL;0.38458991050720215;0.10405575747273511
96;37.38569498062134;openai/gpt-oss-120b;;H100-NVL;0.21347784996032715;0.10475292170341871
97;37.65426230430603;openai/gpt-oss-120b;;H100-NVL;0.2685673236846924;0.10562999410993859
98;37.67220544815064;openai/gpt-oss-120b;;H100-NVL;0.017943143844611598;0.10568859184303736
99;38.048216581344604;openai/gpt-oss-120b;;H100-NVL;0.3760111331939626;0.10691654833805714
100;38.44211220741272;openai/gpt-oss-120b;;H100-NVL;0.39389562606811523;0.10820291102705952
101;38.892237186431885;openai/gpt-oss-120b;;H100-NVL;0.45012497901916504;0.1096729044468344
102;42.09269618988037;openai/gpt-oss-120b;;H100-NVL;3.2004590034484863;0.12012478757844851
103;42.37741470336914;openai/gpt-oss-120b;;H100-NVL;0.28471851348876953;0.12105460565303876
104;44.41338920593262;openai/gpt-oss-120b;;H100-NVL;2.0359745025634766;0.12770357929613518
106;45.49382901191712;openai/gpt-oss-120b;;H100-NVL;1.0804398059845042;0.13123202023873937
105;45.64243173599243;openai/gpt-oss-120b;;H100-NVL;0.14860272407531028;0.13171731884853285
107;46.70722699165344;openai/gpt-oss-120b;;H100-NVL;1.0647952556610107;0.1351946686784399
108;47.40807604789734;openai/gpt-oss-120b;;H100-NVL;0.7008490562438965;0.1374834630110248
109;51.54308819770813;openai/gpt-oss-120b;;H100-NVL;4.135012149810791;0.15098735844947872
