position;time;model;response;gpu;diff_time;norm_time
0;1.2489242553710938;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.0;0.0
1;1.9139041900634768;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.664979934692383;0.007179050963803079
2;2.112011671066284;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.1981074810028074;0.009317797756347609
3;2.155418872833252;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.04340720176696777;0.009786417179917585
4;2.2969675064086914;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.14154863357543945;0.011314560814454241
5;2.7491674423217773;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.45219993591308594;0.016196462081520722
6;2.841797351837158;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.09262990951538086;0.01719648449797305
7;2.90913200378418;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.06733465194702193;0.017923422068173916
8;3.324519157409668;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.41538715362548784;0.022407896546288775
9;3.390754461288452;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.06623530387878418;0.02312296567445539
10;3.652848482131958;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.26209402084350586;0.02595250418348425
11;4.145026683807373;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.49217820167541504;0.03126600645439905
12;4.261149168014526;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.11612248420715332;0.03251965214906533
15;4.400790929794312;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.13964176177978604;0.03402720940333961
13;4.408564329147339;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.007773399353026456;0.034111130176292234
14;4.469536066055298;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.060971736907958984;0.03476937440860327
16;4.490978479385376;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.021442413330078125;0.035000864368002975
18;4.584499359130859;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.0935208797454834;0.03601050560203977
17;4.59740686416626;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.01290750503540039;0.03614985362087518
19;4.678237438201904;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.08083057403564453;0.037022491696344015
20;4.801315784454346;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.1230783462524414;0.03835123212021203
21;4.818157434463501;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.016841650009155273;0.03853305273978634
23;4.949626207351685;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.1314687728881836;0.03995237529596171
24;4.954061269760132;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.004435062408447266;0.04000025574677955
22;4.980807542800903;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.026746273040771484;0.0402890055980669
25;5.236149311065674;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.2553417682647705;0.043045647523523446
26;5.314339637756348;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.07819032669067383;0.04388978177615835
28;5.434072494506836;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.11973285675048828;0.04518240465966102
27;5.501209259033203;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.06713676452636719;0.0459072058588169
29;5.634257793426514;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.13304853439331055;0.0473435833481779
30;5.700692415237427;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.06643462181091309;0.048060804291035604
31;5.708560228347778;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.007867813110351562;0.04814574434463139
32;5.789934396743774;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.0813741683959961;0.04902425100562138
33;5.8488359451293945;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.05890154838562012;0.04966014570807265
34;5.851258039474487;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.0024220943450927734;0.04968629437487507
36;6.01371169090271;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.16245365142822266;0.05144012630575674
35;6.068633794784546;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.05492210388183594;0.05203305935867567
37;6.153514623641968;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.08488082885742188;0.052949423544159206
38;6.262845754623413;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.10933113098144531;0.05412975052892622
39;6.318700075149536;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.05585432052612305;0.05473274769122574
41;6.515179395675659;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.19647932052612305;0.056853917040557984
42;6.518224239349365;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.0030448436737060547;0.05688678884129955
43;6.567942380905151;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.04971814155578613;0.05742354048361742
44;6.58991551399231;mistralai/Mistral-7B-Instruct-v0.3;;RTX-PRO-6000-ADA;0.021973133087158203;0.05766076003572332
