position;time;model;response
0;0.5589876174926758;swiss-ai/Apertus-8B-Instruct-2509;"SELECT * FROM users;"
1;0.5620732307434082;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
2;0.43436312675476074;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
3;0.5643899440765381;swiss-ai/Apertus-8B-Instruct-2509;"SELECT * FROM users;"
4;0.5540976524353027;swiss-ai/Apertus-8B-Instruct-2509;"SELECT * FROM users;"
5;0.5561001300811768;swiss-ai/Apertus-8B-Instruct-2509;"SELECT * FROM users;"
6;0.42496490478515625;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
7;0.42558884620666504;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
8;0.4560854434967041;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
9;0.6941447257995605;swiss-ai/Apertus-8B-Instruct-2509;'Dove si trova la stazione più vicina?'
10;0.659050464630127;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
11;0.6636593341827393;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
12;0.7040235996246338;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
13;0.6942837238311768;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
14;0.7270634174346924;swiss-ai/Apertus-8B-Instruct-2509;'Dove si trova la stazione più vicina?'
15;0.5814647674560547;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
16;0.8141908645629883;swiss-ai/Apertus-8B-Instruct-2509;"""Wissen ist Macht"" wird ins Deutsche übersetzt als ""Wissen ist Macht""."
17;0.7719542980194092;swiss-ai/Apertus-8B-Instruct-2509;'Dove si trova la stazione più vicina?'
18;0.8727881908416748;swiss-ai/Apertus-8B-Instruct-2509;'Wissen ist Macht' übersetzt ins Deutsche heißt: 'Wissen ist Macht'.
19;0.603111743927002;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
20;0.9150066375732422;swiss-ai/Apertus-8B-Instruct-2509;'Wissen ist Macht' übersetzt ins Deutsche heißt: 'Wissen ist Macht'.
21;0.6641318798065186;swiss-ai/Apertus-8B-Instruct-2509;"SELECT * FROM users;"
22;0.9887495040893555;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
23;0.7302336692810059;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
24;0.5516059398651123;swiss-ai/Apertus-8B-Instruct-2509;"SELECT * FROM users;"
25;0.5705013275146484;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
26;0.5629153251647949;swiss-ai/Apertus-8B-Instruct-2509;"SELECT * FROM users;"
27;0.763786792755127;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
28;1.1005334854125977;swiss-ai/Apertus-8B-Instruct-2509;'Guten Morgen, einen schönen Tag!' übersetzt ins Japanische lautet: 'おはようございます、素敵な一日を!'
29;0.7918591499328613;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
30;1.0173308849334717;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
31;1.0200905799865723;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
32;1.0379602909088135;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
33;1.132218599319458;swiss-ai/Apertus-8B-Instruct-2509;'Guten Morgen, einen schönen Tag!' übersetzt ins Japanische lautet: 'おはようございます、素敵な一日を!'
34;1.2430498600006104;swiss-ai/Apertus-8B-Instruct-2509;'Die Republik' wurde von Platon geschrieben. Die Hauptidee des Werkes ist die Frage, wie eine gerechte Gesellschaft organisiert sein sollte.
35;1.2655327320098877;swiss-ai/Apertus-8B-Instruct-2509;'Die Republik' wurde von Platon geschrieben. Die Hauptidee des Werkes ist die Frage, wie eine gerechte Gesellschaft organisiert sein sollte.
36;1.2694411277770996;swiss-ai/Apertus-8B-Instruct-2509;'Die Republik' wurde von Platon geschrieben. Die Hauptidee des Werkes ist die Frage, wie eine gerechte Gesellschaft organisiert sein sollte.
37;1.041813850402832;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
38;1.0949897766113281;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
39;1.3553428649902344;swiss-ai/Apertus-8B-Instruct-2509;'Die Republik' wurde von Platon geschrieben. Die Hauptidee ist die Darstellung einer idealen Gesellschaft, in der die Philosophen die Herrscher sind.
40;1.392275094985962;swiss-ai/Apertus-8B-Instruct-2509;'Die Republik' wurde von Platon geschrieben. Die Hauptidee des Werkes ist die Frage nach der idealen Staatsform und der Rolle des Philosophen in der Gesellschaft.
41;1.318652629852295;swiss-ai/Apertus-8B-Instruct-2509;'Guten Morgen, einen schönen Tag!' übersetzt ins Japanische lautet: 'おはようございます、素敵な一日を！'
42;1.0688366889953613;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
43;1.3224918842315674;swiss-ai/Apertus-8B-Instruct-2509;'Guten Morgen, einen schönen Tag!' übersetzt ins Japanische lautet: 'おはようございます、素敵な一日を！'
44;1.3334157466888428;swiss-ai/Apertus-8B-Instruct-2509;'Guten Morgen, einen schönen Tag!' übersetzt ins Japanische lautet: 'おはようございます、素敵な一日を！'
45;1.1190004348754883;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
